cshom,prccm,tic
35067000.0,36.79,AIR
193000.0,199.0,AFAP
36000.0,0.715,IWKS
444835000.0,32.61,AAL
35052000.0,9.59,CECO
19290000.0,11.44,ASA
168529000.0,16.6,AVX
112277000.0,94.09,PNW
67677000.0,61.41,PRG
1764181000.0,84.1,ABT
56815000.0,0.2801,WDDD
30839000.0,0.155,ACETQ
,145.056,MRCBF
11282000.0,187.3,MRC.
469000.0,32.0,ACMT
714000.0,34.0,ACMTA
3352000.0,22.58,ACU
2618000.0,0.0004,AHIXD
12702000.0,4.3,BKTI
106011000.0,15.47,ADX
4218000.0,34.28,AE
1445000.0,17.01,ADDC
1081601000.0,30.37,AMD
56297000.0,65.208,ASMIY
234787000.0,51.24,AEM
234787000.0,67.14,AEM.
1869400000.0,0.0251,AGDY
220133000.0,226.37,APD
3036000.0,17.49,AIRT
4982000.0,0.0229,ALAN
123400000.0,63.91,ALK
1853000.0,852.74,ATRI
42826000.0,38.85,MATX
5107000.0,370.3,ALX
,10.1155,AGMJF
38406000.0,13.3,ALC.
7470000.0,30.34,ALCO
2964182000.0,0.0004,PBAJ
14442000.0,681.11,Y
32000.0,107.0,AWRY
727742000.0,174.59,HON
172694000.0,77.27,SWKS
1181000.0,3400.0,ATCD
3600000.0,16.33,GYLD
1443000.0,0.02,AMLC
303439000.0,63.57,HES
,,AHC.2
19608000.0,378.55,UHAL
32000.0,504.75,ABLT
66358000.0,40.0,ABM
42341000.0,119.95,PRI
11377000.0,18.62,VBF
22089000.0,59.54,ECOL
493436000.0,88.01,AEP
18891000.0,0.0048,MNSF
835081000.0,123.44,AXP
745469000.0,54.81,AFL
869754000.0,53.28,AIG
6397000.0,58.15,HAIPF
,0.0001,ALGI
12000000.0,23.88,HYEM
26887000.0,116.47,ANAT
15997000.0,13.64,ARL
5714000.0,2.87,AMS
29303000.0,13.15,AMSWA
29718000.0,15.41,AVD
227841000.0,90.84,AME
609936000.0,184.28,AMGN
,0.0,AMPLQ
12513000.0,4.03,AP
8128000.0,6.86,AXR
369761000.0,112.87,ADI
68105000.0,0.047,ANDR
32500000.0,27.24,ANDE
363156000.0,2.9,NBR
23795000.0,0.038,AGTT
375921000.0,28.97,APA
50837000.0,0.021,ASOE
26599000.0,43.44,APOG
4601075000.0,197.92,AAPL
936105000.0,44.91,AMAT
61418000.0,24.81,EPAC
24687000.0,9.57,TREC
2293000.0,0.115,AOXY
560165000.0,40.8,ADM
25513000.0,28.11,ARCB
84721000.0,71.27,ARW
4282000.0,2.02,ARTW
2837000.0,0.35,AB.
62727000.0,79.97,ASH
1018000.0,4.5,ASTO
1000.0,188.0,NWXJ
7008000.0,25.84,ALOT
24529000.0,40.22,ATRO
8122000.0,40.15,ATROB
101447000.0,33.96,ACLLF
101447000.0,44.14,ACO.X
,,ACLTF
13224000.0,44.0,ACO.Y
6274000.0,72.9,REX
